,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2
A1,,,,,,,,,,,,,,,,,
A2,,1.0,,0.03338902816470887,,0.5516772843673704,-0.12038585308576923,0.8340576562282991,0.20851441405707474,0.20851441405707496,1.0,0.12038585308576914,0.12038585308576934,0.5516772843673704,-0.12038585308576909,0.04347826086956528,0.8846517369293828
A3,,,,,,,,,,,,,,,,,
B1,,0.03338902816470887,,1.0,,0.5447047794019222,0.46225016352102394,-0.3202563076101742,-0.4803844614152613,-0.48038446141526125,0.03338902816470895,0.2773500981126145,0.27735009811261474,0.06052275326688031,-0.647150228929434,0.5008354224706334,0.22645540682891918
B2,,,,,,,,,,,,,,,,,
B3,,0.5516772843673704,,0.5447047794019222,,1.0,-0.21821789023599258,0.0,-0.3779644730092272,-0.37796447300922703,0.5516772843673704,0.21821789023599228,0.21821789023599264,0.6190476190476192,-0.21821789023599228,0.7092993656151907,0.5345224838248488
C1,,-0.12038585308576923,,0.46225016352102394,,-0.21821789023599258,1.0,0.0,-1.1217282337237454e-16,-9.614813431917819e-17,-0.12038585308576925,0.33333333333333315,0.3333333333333328,-0.5091750772173156,-0.33333333333333326,-0.3611575592573077,-1.1331166295920984e-16
C2,,0.8340576562282991,,-0.3202563076101742,,0.0,0.0,1.0,0.49999999999999994,0.5000000000000001,0.8340576562282991,0.0,0.0,0.2519763153394848,6.409875621278547e-17,-0.4170288281141495,0.7071067811865475
C3,,0.20851441405707474,,-0.4803844614152613,,-0.3779644730092272,-1.1217282337237454e-16,0.49999999999999994,1.0,1.0,0.20851441405707477,0.5773502691896258,0.5773502691896258,0.1259881576697423,0.5773502691896258,-0.20851441405707477,0.35355339059327373
D1,,0.20851441405707496,,-0.48038446141526125,,-0.37796447300922703,-9.614813431917819e-17,0.5000000000000001,1.0,1.0,0.20851441405707477,0.5773502691896258,0.577350269189626,0.1259881576697423,0.5773502691896257,-0.20851441405707477,0.35355339059327373
D2,,1.0,,0.03338902816470895,,0.5516772843673704,-0.12038585308576925,0.8340576562282991,0.20851441405707477,0.20851441405707477,1.0,0.12038585308576914,0.12038585308576934,0.5516772843673704,-0.12038585308576909,0.04347826086956528,0.8846517369293828
D3,,0.12038585308576914,,0.2773500981126145,,0.21821789023599228,0.33333333333333315,0.0,0.5773502691896258,0.5773502691896258,0.12038585308576914,1.0,1.0000000000000002,0.21821789023599233,0.3333333333333334,0.36115755925730747,0.408248290463863
E1,,0.12038585308576934,,0.27735009811261474,,0.21821789023599264,0.3333333333333328,0.0,0.5773502691896258,0.577350269189626,0.12038585308576934,1.0000000000000002,1.0,0.21821789023599245,0.3333333333333332,0.3611575592573077,0.4082482904638631
E2,,0.5516772843673704,,0.06052275326688031,,0.6190476190476192,-0.5091750772173156,0.2519763153394848,0.1259881576697423,0.1259881576697423,0.5516772843673704,0.21821789023599233,0.21821789023599245,1.0,0.363696483726654,0.7092993656151907,0.7126966450997984
E3,,-0.12038585308576909,,-0.647150228929434,,-0.21821789023599228,-0.33333333333333326,6.409875621278547e-17,0.5773502691896258,0.5773502691896257,-0.12038585308576909,0.3333333333333334,0.3333333333333332,0.363696483726654,1.0,0.12038585308576914,-2.2662332591841976e-17
F1,,0.04347826086956528,,0.5008354224706334,,0.7092993656151907,-0.3611575592573077,-0.4170288281141495,-0.20851441405707477,-0.20851441405707477,0.04347826086956528,0.36115755925730747,0.3611575592573077,0.7092993656151907,0.12038585308576914,1.0,0.2948839123097943
F2,,0.8846517369293828,,0.22645540682891918,,0.5345224838248488,-1.1331166295920984e-16,0.7071067811865475,0.35355339059327373,0.35355339059327373,0.8846517369293828,0.408248290463863,0.4082482904638631,0.7126966450997984,-2.2662332591841976e-17,0.2948839123097943,1.0
